id;calle;numero;escalera;cod_postal;ciudad;descripcion;nbanios
1;incentivize New Directo;62147;42997;83100;aggregate Ejecutivo Berkshire;Kroon;66726
2;y Marroquinería payment;84220;36601;4515;Salud Andalucía Algodón;Rústico collaborative;87692
3;Coordinador Mongolia;13132;83254;49709;Torrente expedite Configuración;Credit;73225
4;Salud;90006;7170;37073;technologies embrace Principado;interface Artesanal efficient;83057
5;Account monitor Bedfordshire;74412;48180;8956;Mesa Buckinghamshire;Optimizado Guinea-Bisau quantify;23209
6;invoice;25285;12183;17338;Andalucía input;Negro whiteboard;53504
7;feed bypassing;20405;66060;14875;Ladrillo;payment Bicicleta terciaria;97427
8;open-source software Borders;83369;33289;35364;Bedfordshire networks Peso;discreta Violeta;39867
9;ADP;51987;43570;42438;Extrarradio Metal Teclado;XML;79172
10;Moda;55563;42928;54159;Pakistan Canarias state;Gris Cuban Ergonómico;25102
